DRE;CODESC;TIPOESC;NOMES;DESLOC;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;DISTRITO;CDIST;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;NOME_ANT;REDE;LATITUDE;LONGITUDE;DATABASE
G;86;EMEI;PAULO CAMILHIER FLORENCANO;PAULO CAMILHIER FLORENCANO;;GUAIANASES;GUAIANASES;RUA FELICIANO DE MENDONCA;502;JARDIM SAO PAULOZONA LESTE;8460365;25578348;25571947;25571947;Criada;GUAIANASES;31;3103;35098711;1678110;1,63000e+14;;13/06/1988;26134;13/06/1988;;16/03/1991;;;DIR;-23553905;-46398452;31/12/2024
FO;94;EMEI;VICENTE PAULO DA SILVA;VICENTE PAULO DA SILVA;;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;RUA DOUTOR FLEURY SILVEIRA;295;VILA SANTA MARIA;2563010;39813227;;;Criada;LIMAO;50;5002;35098361;1670158;1,62000e+14;;04/07/1988;26314;04/07/1988;;16/03/1991;;;DIR;-23489728;-46670198;31/12/2024
MP;108;EMEF;JOSE ERMIRIO DE MORAES, SEN.;JOSE ERMIRIO DE MORAES, SEN.;;SAO MIGUEL;SAO MIGUEL;RUA SAO BRAS DO SUACUI;159;JARDIM HELENA;8090290;25865294;25811484;;Ativa;JARDIM HELENA;44;4402;35098760;1677116;1,63000e+14;;05/07/1988;26312;05/07/1988;;13/03/2001;;VILA NITRO OPERARIA;DIR;-23478312;-46427344;31/12/2024
BT;191;EMEF;ALIPIO CORREA NETO, PROF.;ALIPIO CORREA NETO, PROF.;;BUTANTA;BUTANTA;AVENIDA JOAO CAIAFFA;140;JARDIM TABOAO;5742100;58450121;;58450121;Ativa;VILA SONIA;94;9404;35098462;1679154;1,62000e+14;;27/05/1988;26003;27/05/1988;;16/03/1991;;;DIR;-23612237;-46749888;31/12/2024
PJ;205;EMEBS;VERA LUCIA APARECIDA RIBEIRO, PROFA.;VERA LUCIA APARECIDA RIBEIRO, PROFA.;;PIRITUBA;PIRITUBA;RUA BENEDITO PEREIRA;206;JARDIM LIBANO;5138120;39067057;39067229;;Ativa;PIRITUBA;63;6301;35079029;1671138;1,63000e+14;;22/06/1988;26229;22/06/1988;;16/03/1991;;;DIR;-23486142;-46733901;31/12/2024
BT;213;EMEI;ANTONIO CARLOS PACHECO E SILVA, PROF.;ANTONIO CARLOS PACHECO E SILVA, PROF.;;BUTANTA;BUTANTA;AVENIDA JOÃO CAIAFFA;90;JARDIM TABOÃO;5742100;58448902;;58425113;Ativa;VILA SONIA;94;9404;35098504;1679153;1,62000e+14;;07/06/1988;26117;07/06/1988;;13/03/2001;;;DIR;-23611929;-46750176;31/12/2024
FO;221;EMEI;NAIR CORREA BUARQUE;NAIR CORREA BUARQUE;;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;RUA SANTA ANGELA;51;VILA PALMEIRAS;2727000;39329355;39316339;;Ativa;FREGUESIA DO O;29;2910;35098425;1670140;1,62000e+14;;22/06/1988;26231;22/06/1988;;13/03/2001;;INSTALADA JUNTO A EMPG ELIAS S. CAVALCANTI;DIR;-23498613;-46685953;31/12/2024
JT;230;EMEI;MARIA YOLANDA DE SOUZA PINTO HAHNE, DA.;MARIA YOLANDA DE SOUZA PINTO HAHNE, DA.;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;RUA GASTAO MADEIRA;340;VILA MARIA ALTA;2131080;2955-9902;29676624;;Ativa;VILA MARIA;89;8906;35098395;1669185;1,63000e+14;;13/07/1988;26395;13/07/1988;;07/11/1992;;PARQUE SHIBA;DIR;-23506186;-46585236;31/12/2024
JT;248;EMEI;WALFRIDO DE CARVALHO, CEL.;WALFRIDO DE CARVALHO, CEL.;;JACANA/TREMEMBE;JACANA/TREMEMBE;RUA VICENTE QUEROL;200;JARDIM SAO JOAO ZONA NORTE;2365008;29954062;;;Ativa;TREMEMBE;81;8104;35098383;1669129;1,63000e+14;;16/09/1988;26915;16/09/1988;;07/11/1992;;JARDIM MARTINS SILVA;DIR;-23437360;-46585072;31/12/2024
CL;256;EMEI;WILMA ALVARENGA DE OLIVEIRA, PROFA.;WILMA ALVARENGA DE OLIVEIRA, PROFA.;;CAMPO LIMPO;CAMPO LIMPO;RUA INTEGRADA;395;COHAB INSTITUTO ADVENTISTA;5868670;58217976;58216627;;Ativa;CAPAO REDONDO;19;1905;35098656;1672157;1,62000e+14;;21/09/1988;26938;21/09/1988;;09/03/1991;;;DIR;-23665048;-46777627;31/12/2024
SA;264;EMEF;SYLVIO HECK, ALM.;SYLVIO HECK, ALM.;;SANTO AMARO;CIDADE ADEMAR;RUA PEDRO NOGUEIRA DE PAZES;199;JARDIM ITAPURA;4433010;56110316;56123503;;Ativa;PEDREIRA;58;5802;35098541;1673152;1,63000e+14;;05/07/1988;26313;04/07/1988;;16/03/1991;;JARDIM ITAPURA;DIR;-23688879;-46658865;31/12/2024
CL;281;EMEF;VERA LUCIA FUSCO BORBA, PROFA.;VERA LUCIA FUSCO BORBA, PROFA.;;CAMPO LIMPO;CAMPO LIMPO;RUA MARTINHO LUTERO;375;JARDIM CAMPO LIMPO;5785180;58416595;58422424;;Ativa;CAMPO LIMPO;17;1701;35098607;1672129;1,62000e+14;;12/08/1988;26617;12/08/1988;;09/03/1991;;;DIR;-23624880;-46767503;31/12/2024
FO;299;EMEF;ROBERTO PATRICIO, PROF.;ROBERTO PATRICIO, PROF.;;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;RUA ANTONIO DOMINGUES FREITAS;147;VILA AMELIA;2615020;22586078;;;Criada;CACHOEIRINHA;13;1304;35098358;1670159;1,62000e+14;;12/08/1988;26616;12/08/1988;;16/03/1991;;VILA AMELIA;DIR;-23471774;-46654797;31/12/2024
JT;302;EMEF;HELIO FRANCO CHAVES, CEL.;HELIO FRANCO CHAVES, CEL.;;JACANA/TREMEMBE;JACANA/TREMEMBE;RUA KOTINDA;1343;JARDIM CORISCO;2365010;29952513;29927707;;Criada;TREMEMBE;81;8103;35098371;1669118;1,63000e+14;;;;;;16/03/1991;;;DIR;-23428244;-46582907;31/12/2024
CL;311;EMEF;ANTONIO ALVES DA SILVA, SG.;ANTONIO ALVES DA SILVA, SG.;;CAMPO LIMPO;CAMPO LIMPO;RUA GARCIA DE ORTA;36;PARQUE INDEPENDÊNCIA;5880290;58737928;58726507;;Ativa;CAPAO REDONDO;19;1907;35098632;1672133;1,62000e+14;;16/09/1988;26916;16/09/1988;;09/03/1991;;;DIR;-23683548;-46789733;31/12/2024
PE;329;EMEBS;NEUSA BASSETTO, PROFA.;NEUSA BASSETTO, PROFA.;;PENHA;MOOCA;RUA TAQUARI;549;MOOCA;3166000;26946923;;26946923;Ativa;MOOCA;53;5302;35079017;1674168;1,63000e+14;;22/06/1988;26230;22/06/1988;;16/03/1991;;NEUSA BASSETO, PROFA.;DIR;-23551158;-46598281;31/12/2024
JT;337;EMEBS;LUCIE BRAY, ME;LUCIE BRAY, ME;;JACANA/TREMEMBE;JACANA/TREMEMBE;RUA SÃO GERALDINO;236;VILA CONSTANCA;2258220;22405315;22401005;;Criada;JACANA;39;3904;35079042;1669103;1,63000e+14;;;;;;16/03/1991;;LUCIE BRAY, ME.;DIR;-23475348;-46581312;31/12/2024
SA;388;EMEI;RAUL JOVIANO DO AMARAL;RAUL JOVIANO DO AMARAL;;SANTO AMARO;CIDADE ADEMAR;RUA VALENTINO FIORAVANTI;128;JARDIM RUBILENE;4475380;56740025;;56741631;Ativa;PEDREIRA;58;5803;35098553;1673146;1,63000e+14;;16/09/1988;26917;16/09/1988;;16/03/1991;;;DIR;-23702963;-46636134;31/12/2024
SA;418;EMEF;JOAO DE SOUZA FERRAZ, PROF.;JOAO DE SOUZA FERRAZ, PROF.;;SANTO AMARO;SANTO AMARO;RUA RAFAEL CORREIA SAMPAIO;291;JARDIM PALMARES;4457100;56114691;56155200;;Ativa;CAMPO GRANDE;16;1604;35098536;1673113;1,63000e+14;;15/10/1988;27109;14/10/1988;;16/03/1991;;;DIR;-23689499;-46675494;31/12/2024
SM;426;EMEI;CELIA CAMARGO PENTEADO ELIAS, PROFA.;CELIA CAMARGO PENTEADO ELIAS, PROFA.;;SAO MATEUS;SAO MATEUS;RUA JOSE VIEIRA DO RIO;257;PARQUE SAO RAFAEL;8320120;20196061;;20153216;Ativa;SAO RAFAEL;75;7501;35098747;1680146;1,63000e+14;;14/10/1988;27113;14/10/1988;;16/03/1991;;;DIR;-23629017;-46475580;31/12/2024
PJ;434;EMEI;CLEMENTE SEGUNDO PINHO, PROF.;CLEMENTE SEGUNDO PINHO, PROF.;;PIRITUBA;PIRITUBA;RUA VIRGINIA GALILEI;100;JARDIM IPANEMA;5187060;39410593;39410593;;Ativa;JARAGUA;42;4203;35098437;1671104;1,63000e+14;;19/10/1988;27168;19/10/1988;;13/03/2001;;;DIR;-23444008;-46750245;31/12/2024
IP;442;EMEI;ANTONIO RUBBO MULLER, PROF.;ANTONIO RUBBO MULLER, PROF.;;IPIRANGA;VILA PRUDENTE;RUA CARMINHA;123;PARQUE SAO LUCAS;3240040;29187032;;;Ativa;SAO LUCAS;72;7202;35098693;1668174;1,63000e+14;;26/10/1988;27209;26/10/1988;;16/03/1991;;JTO A EMPG AUREA RIBEIRO XAVIER LOPES, PROF.;DIR;-23598841;-46544618;31/12/2024
PJ;451;EMEI;MARIA DO CARMO GODOY RAMOS, PROFA.;MARIA DO CARMO GODOY RAMOS, PROFA.;;PIRITUBA;PIRITUBA;RUA MIGUEL PEREIRA LANDIM;193;JARDIM JARAGUA;5158000;39049242;39067053;39067053;Ativa;SAO DOMINGOS;95;9501;35098449;1671159;1,63000e+14;;26/10/1988;27210;26/10/1988;;13/03/2001;;JARDIM JARAGUA, ANEXA A EMPG HENRIQUE GEISEL;DIR;-23489533;-46756681;31/12/2024
PJ;469;EMEI;RODOLFO TREVISAN;RODOLFO TREVISAN;;PIRITUBA;LAPA;RUA SILVA AIROSA;60;VILA RIBEIRO DE BARROS;5307040;38365027;;36415262;Ativa;VILA LEOPOLDINA;88;8801;35098516;1671183;1,63000e+14;;26/10/1988;27211;26/10/1988;;13/03/2001;;JARDIM HUMAITA;DIR;-23519917;-46741859;31/12/2024
BT;477;EMEF;EDA TEREZINHA CHICA MEDEIROS, PROFA.;EDA TEREZINHA CHICA MEDEIROS, PROFA.;;BUTANTA;BUTANTA;RUA ENGENHEIRO HUGO TAKAHASHI;333;RAPOSO TAVARES;5563120;37820714;;;Ativa;RAPOSO TAVARES;65;6504;35098474;1679119;1,62000e+14;;26/10/1988;27212;26/10/1988;;16/03/1991;;JARDIM EDUCANDARIO;DIR;-23602076;-46783825;31/12/2024
PE;485;EMEF;ASSAD ABDALA;ASSAD ABDALA;;PENHA;PENHA;AVENIDA MENDONCA DRUMOND;902;JARDIM MARINGÁ;3524030;27811729;27812502;;Ativa;VILA MATILDE;91;9103;35098668;1674176;1,63000e+14;;27/10/1988;27213;26/10/1988;;13/12/1995;;;DIR;-23553203;-46517809;31/12/2024
CS;493;EMEI;AURELIO BUARQUE DE HOLANDA FERREIRA;AURELIO BUARQUE DE HOLANDA FERREIRA;;CAPELA DO SOCORRO;CAPELA DO SOCORRO;RUA DOUTOR ARMANDO FAJARDO;400;JARDIM SÃO BERNARDO;4844590;59394789;59287612;;Ativa;GRAJAU;30;3003;35066312;1675126;1,62000e+14;;18/11/1988;27340;18/11/1988;;13/03/2001;;JARDIM SAO BERNARDO / JARDIM PETRONITA;DIR;-23756392;-46702787;31/12/2024
